S.No.,CITY 1,CITY 2,"PASSENGERS 
TO CITY 2","PASSENGERS 
FROM CITY 2","FREIGHT 
TO CITY 2","FREIGHT 
FROM CITY 2","MAIL 
TO CITY 2","MAIL 
FROM CITY 2"
1,ADAMPUR,DELHI,2322,2606,0,0.98299,0,0
2,AGARTALA,BAGDOGRA,0,141,0,1.847,0,0
3,AGARTALA,BENGALURU,3948,4003,0.947,1.368,0,1.308
4,AGARTALA,CHENNAI,2318,1402,0.001,0.001,0,0.272
5,AGARTALA,COIMBATORE,0,18,0,0,0,0
6,AGARTALA,DELHI,6933,6178,0.241,14.712,0.665,4.739
7,AGARTALA,GUWAHATI,10870,9725,5.923,45.026,3.982,2.63
8,AGARTALA,IMPHAL,1534,1681,0.292,0.461,0,0
9,AGARTALA,KOLKATA,38473,34929,19.7595,308.5441,5.655,5.002
10,AGARTALA,MUMBAI,37,15,0.041,0,0,0
11,AGARTALA,NAGPUR,2,0,0,0,0,0
12,AGATTI ISLAND,BENGALURU,57,76,0,0,0,0
13,AGATTI ISLAND,KOCHI,1226,1518,0,0,0,0
14,AGRA,DELHI,0,23,0,0,0,0
15,AGRA,JAIPUR,539,634,0,0,0,0
16,AGRA,KHAJURAHO,200,0,0,0,0,0
17,AGRA,VARANASI,0,453,0,0,0,0
18,AHMEDABAD,AJMER,1658,1198,0,0,0,0
19,AHMEDABAD,AURANGABAD,511,678,0,0,0,0
20,AHMEDABAD,BAGDOGRA,9998,7050,23.41405,9.94751,0.817,0.105
21,AHMEDABAD,BELGAUM,716,713,0,0,0,0
22,AHMEDABAD,BENGALURU,34376,34431,315.82567,263.29995,1.221,0.897
23,AHMEDABAD,BHOPAL,1920,1825,0.0405,0.12517,0,0
24,AHMEDABAD,BHUBANESWAR,1513,727,16.463,0.337,0.54,1.496
25,AHMEDABAD,CHANDIGARH,7027,5460,22.35289,32.77945,0,0
26,AHMEDABAD,CHENNAI,27559,24427,233.43738,163.53838,0.32,3.132
27,AHMEDABAD,COIMBATORE,53,93,0,0,0,0
28,AHMEDABAD,DABOLIM,16047,16612,32.1465,13.77062,0,0.086
29,AHMEDABAD,DEHRA DUN,2376,2325,0.26238,0,0,0
30,AHMEDABAD,DELHI,98559,81969,1306.81543,1340.56261,4.62,10.605
31,AHMEDABAD,GUWAHATI,4508,3887,35.129,7.634,1.178,1.083
32,AHMEDABAD,HUBLI,4604,3813,40.865,20.168,0.018,0.172
33,AHMEDABAD,HYDERABAD,28340,27093,162.03692,117.19061,0.678,2.832
34,AHMEDABAD,IMPHAL,0,172,0,0.698,0,0
35,AHMEDABAD,INDORE,2777,2664,0.54,62.589,0,0
36,AHMEDABAD,JABALPUR,1763,1299,0.11855,0.00054,0,0
37,AHMEDABAD,JAIPUR,14022,10882,8.81297,10.88011,0,1.383
38,AHMEDABAD,JAISALMER,3075,2816,0,0,0,0
39,AHMEDABAD,JALGAON,823,659,0,0,0,0
40,AHMEDABAD,JODHPUR,4387,3419,2.879,0,0,0
41,AHMEDABAD,KANDLA,1615,1832,0,0,0,0
42,AHMEDABAD,KANPUR,1295,1005,1.24439,0,0,0
43,AHMEDABAD,KOCHI,8863,9691,41.14111,7.05042,2.169,0
44,AHMEDABAD,KOLKATA,26882,21252,263.8419,128.8247,1.243,2.497
45,AHMEDABAD,LUCKNOW,12849,9522,50.48,17.88851,1.999,0
46,AHMEDABAD,MUMBAI,75092,74207,1020.05119,819.79049,2.904,4.073
47,AHMEDABAD,NAGPUR,6547,5385,25.24827,1.1831,0,0
48,AHMEDABAD,NASIK,2786,2628,0,0,0,0
49,AHMEDABAD,PATNA,5006,4694,56.38585,1.23903,0,0
50,AHMEDABAD,PORBANDAR,1543,1528,0,0,0,0
