S.No.,"CITY 1","CITY 2","PASSENGERS 
TO CITY 2","PASSENGERS 
FROM CITY 2","FREIGHT 
TO CITY 2","FREIGHT 
FROM CITY 2","MAIL 
TO CITY 2","MAIL 
FROM CITY 2"
1,ADAMPUR,DELHI,1968,1776,0,1.2818,0,0
2,AGARTALA,BAGDOGRA,10,-,0,-,0,-
3,AGARTALA,BENGALURU,4774,4129,0.018,0.757,0,0.938
4,AGARTALA,CHENNAI,2057,2095,0.083,0.214,0,0.054
5,AGARTALA,COIMBATORE,-,10,-,0.009,-,0
6,AGARTALA,DELHI,2930,3022,0.052,6.986,0.127,3.864
7,AGARTALA,GUWAHATI,11338,8861,0.716,44.352,3.584,5.017
8,AGARTALA,HYDERABAD,758,222,0,0.261,0,0
9,AGARTALA,IMPHAL,824,1336,0.325,0.363,0,0
10,AGARTALA,KOLKATA,35951,34401,17.3851,293.5921,5.024,19.897
11,"AGATTI ISLAND",BENGALURU,98,61,0,0,0,0
12,"AGATTI ISLAND",KOCHI,823,1312,0,0,0,0
13,AGRA,DELHI,-,48,-,0,-,0
14,AGRA,JAIPUR,407,567,0,0,0,0
15,AGRA,KHAJURAHO,143,-,0,-,0,-
16,AGRA,VARANASI,-,368,-,0,-,0
17,AHMEDABAD,AJMER,1592,1523,0,0,0,0
18,AHMEDABAD,ALLAHABAD,85,53,0,0,0,0
19,AHMEDABAD,BAGDOGRA,5081,4776,0.026,11.21915,0,0
20,AHMEDABAD,BELGAUM,612,431,0,0,0,0
21,AHMEDABAD,BENGALURU,44289,42938,282.78723,195.77847,1.552,0.312
22,AHMEDABAD,BHUBANESWAR,918,-,11.839,-,0,-
23,AHMEDABAD,CHANDIGARH,4698,4600,15.23,44.01,0,0
24,AHMEDABAD,CHENNAI,22216,21135,237.21955,177.69501,0.403,0.002
25,AHMEDABAD,COIMBATORE,86,67,0,0,0,0
26,AHMEDABAD,DABOLIM,17380,17577,24.587,9.234,0.001,0
27,AHMEDABAD,"DEHRA DUN",2342,2311,0.41884,0,0,0
28,AHMEDABAD,DELHI,95670,92075,1304.24906,1310.43943,5.64,14.989
29,AHMEDABAD,HUBLI,5268,4482,47.259,9.293,0.013,0
30,AHMEDABAD,HYDERABAD,28957,27345,126.565,81.468,1.166,0.3
31,AHMEDABAD,IMPHAL,-,129,-,0.822,-,0
32,AHMEDABAD,INDORE,1497,1416,0,0,0,0
33,AHMEDABAD,JABALPUR,1901,1689,14.87635,0.37566,0,0
34,AHMEDABAD,JAIPUR,13862,12479,8.80206,20.39033,0.12,1.535
35,AHMEDABAD,JAISALMER,1743,2068,0.116,0,0,0
36,AHMEDABAD,KANDLA,690,858,0,0,0,0
37,AHMEDABAD,KOCHI,15617,14439,43.176,5.398,1.717,0.986
38,AHMEDABAD,KOLKATA,21526,20288,242.624,305.041,3.503,3.76
39,AHMEDABAD,LUCKNOW,10219,9597,60.176,7.384,1.869,0
40,AHMEDABAD,MANGALORE,-,505,-,0.033,-,6.087
41,AHMEDABAD,MUMBAI,85752,79103,1051.35255,898.15283,4.201,6.969
42,AHMEDABAD,NAGPUR,1248,563,6.064,0.645,0,0
43,AHMEDABAD,NASIK,2723,2546,0,0,0,0
44,AHMEDABAD,PATNA,4835,4117,52.35058,0.38869,0,0
45,AHMEDABAD,PORBANDAR,1179,1192,0,0,0,0
46,AHMEDABAD,PUNE,26930,25795,49.50763,47.0573,4.974,0.779
47,AHMEDABAD,TRIVANDRUM,-,909,-,0.01,-,0
48,AHMEDABAD,UDAIPUR,893,871,0,0,0,0
49,AHMEDABAD,VARANASI,9925,9522,44.02983,0.784,0.033,0
50,AHMEDABAD,VISAKHAPATNAM,1119,242,2.902,2.177,0,0
51,AIZAWL,IMPHAL,590,752,0,0.213,2.38,1.231
52,AIZAWL,KOLKATA,4716,4801,8.1515,25.5347,18.158,3.916
53,AJMER,DELHI,2009,1804,0,0,0,0
54,AJMER,HYDERABAD,2275,2145,0,0,0,0
55,ALLAHABAD,BENGALURU,4735,3821,0,0.478,0,0
56,ALLAHABAD,DELHI,2875,3027,0,0.31,0,0
57,ALLAHABAD,MUMBAI,4998,5146,0,0.071,0,0
58,AMRITSAR,BAGDOGRA,-,118,-,0,-,0.026
59,AMRITSAR,BENGALURU,4162,3151,52.895,7.172,0,0.335
60,AMRITSAR,COIMBATORE,-,106,-,0.196,-,0
61,AMRITSAR,DABOLIM,-,160,-,0.508,-,0
62,AMRITSAR,"DEHRA DUN",810,845,1.27995,0,0,0
63,AMRITSAR,DELHI,28505,25556,9.8864,77.5379,0.018,3.125
64,AMRITSAR,GUWAHATI,4827,3697,10.837,0.428,1.558,0
65,AMRITSAR,HYDERABAD,4533,4167,0.07,8.641,0,0
66,AMRITSAR,JAIPUR,1759,1883,0,0.037,0,0
67,AMRITSAR,MUMBAI,19261,19826,52.81861,26.65951,0.033,3.034
68,AMRITSAR,NANDED,650,590,0,0,0,0
69,AMRITSAR,SRINAGAR,3358,3749,0.481,2.159,0,0.085
70,AURANGABAD,DELHI,3645,3244,33.1273,21.661,0.251,6.456
71,AURANGABAD,HYDERABAD,1565,1561,0,0,0,0
72,AURANGABAD,MUMBAI,3211,3510,10.0825,3.1675,0.454,13.279
73,BAGDOGRA,BENGALURU,21129,22067,37.94036,29.99488,0,4.006
74,BAGDOGRA,CHENNAI,6655,5893,18.14655,2.07995,0.31,0
75,BAGDOGRA,DELHI,49879,50546,187.28242,204.58968,0.25,2.827
76,BAGDOGRA,DIBRUGARH,2170,2216,0,0.747,0,0
77,BAGDOGRA,GUWAHATI,8781,9577,16.1545,58.848,0,0
78,BAGDOGRA,HYDERABAD,5741,5503,13.887,5.398,0,0
79,BAGDOGRA,KOLKATA,41167,42483,81.42505,105.79126,0.971,0.889
80,BAGDOGRA,MANGALORE,36,-,0.001,-,0,-
